district,municipality,tof_area_ha,forest_area_ha,total_tree_cover_ha,tof_percent,forest_percent
Bhaktapur,Bhaktapur,12.87,0,12.87,100,0
Bhaktapur,Changunarayan,620.54,1265.646667,1886.186667,32.89918283,67.10081717
Bhaktapur,Madhyapur Thimi,9.08,13.55666667,22.63666667,40.11191283,59.88808717
Bhaktapur,Suryabinayak,423.19,978.4266667,1401.616667,30.19299143,69.80700857
Chitawan,Bharatpur,1113.9825,18275.2675,19389.25,5.745361476,94.25463852
Chitawan,Ichchhyakamana,977.7425,16613.9875,17591.73,5.557966726,94.44203327
Chitawan,Kalika,630.5525,12363.1175,12993.67,4.85276677,95.14723323
Chitawan,Khairahani,362.9425,2033.2375,2396.18,15.14671268,84.85328732
Chitawan,Madi,650.9525,15061.5975,15712.55,4.1428826,95.8571174
Chitawan,Rapti,756.6825,17801.3975,18558.08,4.077374922,95.92262508
Chitawan,Ratnanagar,238.1225,570.8475,808.97,29.43526954,70.56473046
Dhading,Benighat Rorang,1714.325385,16326.26462,18040.59,9.502601548,90.49739845
Dhading,Dhunibesi,1608.025385,6215.664615,7823.69,20.55328604,79.44671396
Dhading,Gajuri,2426.255385,8631.604615,11057.86,21.94145508,78.05854492
Dhading,Galchi,1945.025385,7712.624615,9657.65,20.13973777,79.86026223
Dhading,Gangajamuna,2051.475385,9244.354615,11295.83,18.16135144,81.83864856
Dhading,Jwalamukhi,2406.305385,6596.214615,9002.52,26.72924231,73.27075769
Dhading,Khaniyabash,1183.705385,7492.734615,8676.44,13.64275422,86.35724578
Dhading,Netrawati Dabjong,901.6653846,4615.674615,5517.34,16.34239298,83.65760702
Dhading,Nilakantha,3858.275385,11161.48462,15019.76,25.68799624,74.31200376
Dhading,Rubi Valley,5368.395385,16458.51462,21826.91,24.59530637,75.40469363
Dhading,Siddhalek,1534.845385,7301.974615,8836.82,17.36875239,82.63124761
Dhading,Thakre,1959.095385,5542.454615,7501.55,26.11587451,73.88412549
Dhading,Tripura Sundari,1378.545385,4984.774615,6363.32,21.66393305,78.33606695
Dolakha,Baiteshwor,1349.096667,4889.157778,6238.254444,21.62618852,78.37381148
Dolakha,Bhimeshwor,2036.916667,8027.737778,10064.65444,20.23831695,79.76168305
Dolakha,Bigu,9464.726667,19881.32778,29346.05444,32.25212672,67.74787328
Dolakha,Gaurishankar,6340.376667,21900.38778,28240.76444,22.45115099,77.54884901
Dolakha,Jiri,2998.826667,11270.85778,14269.68444,21.01536778,78.98463222
Dolakha,Kalinchok,1718.826667,8684.677778,10403.50444,16.52161227,83.47838773
Dolakha,Melung,1966.706667,4500.237778,6466.944444,30.41168335,69.58831665
Dolakha,Sailung,2211.816667,7465.667778,9677.484444,22.85528517,77.14471483
Dolakha,Tamakoshi,1804.706667,4171.777778,5976.484444,30.19679351,69.80320649
Kathmandu,Budhanilakantha,132.5272727,1470.325455,1602.852727,8.268212698,91.7317873
Kathmandu,Chandragiri,258.9672727,1762.625455,2021.592727,12.81006155,87.18993845
Kathmandu,Dakshinkali,639.2572727,1773.935455,2413.192727,26.4901044,73.5098956
Kathmandu,Gokarneshwor,199.7572727,3760.875455,3960.632727,5.043569714,94.95643029
Kathmandu,Kageshwori Manahora,191.6172727,406.6454545,598.2627273,32.02895049,67.97104951
Kathmandu,Kathmandu,65.32727273,42.80545455,108.1327273,60.41396936,39.58603064
Kathmandu,Kirtipur,74.41727273,118.7654545,193.1827273,38.52170107,61.47829893
Kathmandu,Nagarjun,291.2672727,1121.925455,1413.192727,20.6105839,79.3894161
Kathmandu,Shankharapur,1167.657273,2550.215455,3717.872727,31.40659615,68.59340385
Kathmandu,Tarakeshwor,335.9672727,685.9254545,1021.892727,32.87696093,67.12303907
Kathmandu,Tokha,60.59727273,448.4654545,509.0627273,11.90369467,88.09630533
Kabhrepalanchok,Banepa,904.2561538,1893.247692,2797.503846,32.32367866,67.67632134
Kabhrepalanchok,Bethanchowk,901.9361538,8133.937692,9035.873846,9.981725832,90.01827417
Kabhrepalanchok,Bhumlu,1774.086154,5268.457692,7042.543846,25.19098486,74.80901514
Kabhrepalanchok,Chaurideurali,2572.016154,3628.977692,6200.993846,41.47748277,58.52251723
Kabhrepalanchok,Dhulikhel,1537.196154,1806.337692,3343.533846,45.97519345,54.02480655
Kabhrepalanchok,Khanikhola,982.4061538,10985.63769,11968.04385,8.208577496,91.7914225
Kabhrepalanchok,Mahabharat,1481.716154,15437.66769,16919.38385,8.757506581,91.24249342
Kabhrepalanchok,Mandandeupur,2114.046154,4165.107692,6279.153846,33.66769163,66.33230837
Kabhrepalanchok,Namobuddha,2799.386154,4110.267692,6909.653846,40.51413017,59.48586983
Kabhrepalanchok,Panauti,1713.816154,7070.127692,8783.943846,19.51078222,80.48921778
Kabhrepalanchok,Panchkhal,2007.916154,5403.447692,7411.363846,27.09239751,72.90760249
Kabhrepalanchok,Roshi,2135.676154,12925.40769,15061.08385,14.18009604,85.81990396
Kabhrepalanchok,Temal,2011.086154,4332.597692,6343.683846,31.7021813,68.2978187
Lalitpur,Bagmati,1163.261667,8518.158,9681.419667,12.0154038,87.9845962
Lalitpur,Godawari,942.7916667,4739.028,5681.819667,16.593129,83.406871
Lalitpur,Konjyosom,848.1216667,2538.458,3386.579667,25.04360594,74.95639406
Lalitpur,Lalitpur,85.95166667,0,85.95166667,100,0
Lalitpur,Mahalaxmi,160.2116667,716.568,876.7796667,18.27273975,81.72726025
Lalitpur,Mahankal,969.4916667,6413.348,7382.839667,13.13169066,86.86830934
Makawanpur,Bagmati,2006.1675,21851.19917,23857.36667,8.409006442,91.59099356
Makawanpur,Bakaiya,2467.5375,30965.72917,33433.26667,7.380485804,92.6195142
Makawanpur,Bhimphedi,1343.2475,20889.96917,22233.21667,6.041624656,93.95837534
Makawanpur,Hetauda,2349.0675,13254.34917,15603.41667,15.05482774,84.94517226
Makawanpur,Indrasarowar,1366.2875,6317.289167,7683.576667,17.78192057,82.21807943
Makawanpur,Kailash,1638.0075,16724.01917,18362.02667,8.920624775,91.07937523
Makawanpur,Makawanpurgadhi,1748.5075,10775.00917,12523.51667,13.96179321,86.03820679
Makawanpur,Manahari,1245.8375,15264.91917,16510.75667,7.545611174,92.45438883
Makawanpur,Raksirang,1949.8875,17744.11917,19694.00667,9.900918249,90.09908175
Makawanpur,Thaha,2250.0375,12992.88917,15242.92667,14.76119087,85.23880913
Nuwakot,Belkotgadhi,4359.952308,6490.307692,10850.26,40.18292933,59.81707067
Nuwakot,Bidur,2057.752308,7334.557692,9392.31,21.90890535,78.09109465
Nuwakot,Dupcheshwar,1850.922308,8317.967692,10168.89,18.20181266,81.79818734
Nuwakot,Kakani,2367.302308,3971.437692,6338.74,37.34657531,62.65342469
